EAN,Article Libellé Long,PAHT,PVC,PV Mag,TVA en %,Quantité vendue *,Stock en quantité,File_Index,Date,Month,Year,Year_Month,Buying Cost without Taxes,Buying Cost with Taxes,Revenue,Profit
3046920027861,LINDT EXCEL.NR MENTH.100G,1.909999966621399,1.7899999618530273,1.7899999618530273,0.054999999701976776,3.0,21,0,2024-01-06,1,2024,2024_01,5.73,6.05,5.37,-0.6799999999999997
3046920027885,LINDT EXCEL.NR FL.SEL 100,1.909999966621399,1.7899999618530273,1.7899999618530273,0.054999999701976776,14.0,31,0,2024-01-06,1,2024,2024_01,26.74,28.21,25.06,-3.150000000000002
3046920028721,LINDT EXCELLENCE 99% 50G,1.7999999523162842,2.2899999618530273,2.2899999618530273,0.054999999701976776,1.0,14,0,2024-01-06,1,2024,2024_01,1.8,1.9,2.29,0.3900000000000001
3046920029681,100G EXC NR 85% CACAO DOU,1.7999999523162842,2.390000104904175,2.390000104904175,0.054999999701976776,0.0,29,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920029780,LINDT EXC NR 70% 100GR,1.909999966621399,1.7899999618530273,1.7899999618530273,0.054999999701976776,13.0,23,0,2024-01-06,1,2024,2024_01,24.83,26.2,23.27,-2.9299999999999997
3046920030052,2X100G EXC NR SESAME,3.430000066757202,3.190000057220459,3.190000057220459,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920030113,100GX2 EXC NOIR NOISETTE,3.430000066757202,3.190000057220459,3.190000057220459,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920032100,LINDT EXC NR70% LT2X100G,3.3299999237060547,2.9000000953674316,2.9000000953674316,0.054999999701976776,5.0,0,0,2024-01-06,1,2024,2024_01,16.65,17.57,14.5,-3.0700000000000003
3046920032155,EXC.NOIR 85% LT2X100G,3.4200000762939453,3.190000057220459,3.190000057220459,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920032216,EXCELLENCE NOIR LT2X100G,3.4200000762939453,3.190000057220459,3.190000057220459,0.054999999701976776,1.0,6,0,2024-01-06,1,2024,2024_01,3.42,3.61,3.19,-0.41999999999999993
3046920032254,EXC.NR.CARAMEL F.LT2X100G,3.3299999237060547,2.9000000953674316,2.9000000953674316,0.054999999701976776,3.0,0,0,2024-01-06,1,2024,2024_01,9.99,10.54,8.7,-1.8399999999999999
3046920029759,LINDT EXCELLENCE NR 90%,1.909999966621399,1.8899999856948853,1.8899999856948853,0.054999999701976776,18.0,24,0,2024-01-06,1,2024,2024_01,34.38,36.27,34.02,-2.25
3046920010283,LINDT EXC.LT EXT.FDT 100G,1.6699999570846558,1.7899999618530273,1.7899999618530273,0.20000000298023224,14.0,17,0,2024-01-06,1,2024,2024_01,23.38,28.06,25.06,-3.0
3046920010382,LINDT EXC LT CARM FDS,1.6699999570846558,2.1500000953674316,2.1500000953674316,0.20000000298023224,6.0,29,0,2024-01-06,1,2024,2024_01,10.02,12.02,12.9,0.8800000000000008
3046920011501,EXCELLE.CARAM.CROQ.100G,1.2599999904632568,1.4600000381469727,1.4600000381469727,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920013871,100G M.CHOCOLATIER LAIT,1.100000023841858,1.5499999523162842,1.5499999523162842,0.20000000298023224,9.0,0,0,2024-01-06,1,2024,2024_01,9.9,11.88,13.95,2.0699999999999985
3046920013925,3X100G M.CHOCOLATIER LT,3.930000066757202,4.349999904632568,4.349999904632568,0.20000000298023224,1.0,25,0,2024-01-06,1,2024,2024_01,3.93,4.72,4.35,-0.3700000000000001
3046920040686,145G CREATION ROCHER COCO,2.6700000762939453,3.390000104904175,3.390000104904175,0.20000000298023224,5.0,0,0,2024-01-06,1,2024,2024_01,13.35,16.02,16.95,0.9299999999999997
3046920013895,2X100G M.CHOCO LAIT NOISE,3.069999933242798,3.75,3.75,0.20000000298023224,5.0,556,0,2024-01-06,1,2024,2024_01,15.35,18.42,18.75,0.3299999999999983
3046920013949,3X100G M.CHOCOLATIER NOIS,4.599999904632568,6.590000152587891,6.590000152587891,0.20000000298023224,0.0,26,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920016605,2X110G LT ROL LT NOIS LIN,2.4000000953674316,2.990000009536743,2.990000009536743,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920016773,110GX3 M.CHOCO LAIT NOISE,3.5999999046325684,4.199999809265137,4.199999809265137,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920020121,LINDT LAIT NOISETTE X2,2.190000057220459,2.4000000953674316,2.4000000953674316,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
7610400066204,GDES LAIT 34% NST 150G,3.0399999618530273,4.389999866485596,4.389999866485596,0.20000000298023224,1.0,9,0,2024-01-06,1,2024,2024_01,3.04,3.65,4.39,0.7399999999999998
3046920042802,LINDOR LT NOISETTES 150G,1.9600000381469727,2.8299999237060547,2.8299999237060547,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920044714,LINDT RHUM RAISIN 150G,1.8200000524520874,2.490000009536743,2.4600000381469727,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920045537,LINDT COULIS ORANG 70%152,1.899999976158142,2.549999952316284,2.549999952316284,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920047128,LINDT CREA.MOELL.CHOCO,1.8799999952316284,2.7899999618530273,2.7899999618530273,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
7610400087803,100G LINDOR MINI CARRES N,1.7400000095367432,1.9900000095367432,1.9900000095367432,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
7610400087810,100G LINDOR MINI CARRES L,1.7400000095367432,1.9900000095367432,1.9900000095367432,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920019859,LINDT MAXI PLAISIR LT NOI,2.3399999141693115,2.8499999046325684,2.8499999046325684,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920020183,LINDT CREA PIST/AMAND,2.0899999141693115,3.25,3.25,0.20000000298023224,1.0,0,0,2024-01-06,1,2024,2024_01,2.09,2.51,3.25,0.7400000000000002
3046920020206,225G GRANDE PRALINE LT NO,2.9200000762939453,4.849999904632568,4.849999904632568,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920020213,LES GDES PRALINE NR NOISE,3.0399999618530273,4.849999904632568,4.849999904632568,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920021401,GDES PRAL NR NOISETT 225G,3.0399999618530273,3.990000009536743,3.990000009536743,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920021425,GDES PRALINE LT NOIS 225G,3.0399999618530273,3.990000009536743,3.990000009536743,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920021630,150G CREA LT PAVLOVA FRAM,2.569999933242798,3.7899999618530273,3.7899999618530273,0.20000000298023224,0.0,12,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920021692,150G LINDOR CARAMEL,2.3399999141693115,2.7899999618530273,2.7899999618530273,0.20000000298023224,0.0,7,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920023009,CHOCOLETTI NOISETTE 100G,1.5,1.399999976158142,1.399999976158142,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
