 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;9;4159727;1;  ;  ;  ;  ;  ;  ;  ;  ;4;  ;12;16,48;3,620853;0,2082578;5;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;9;4159727;3,17914E+12; 100G NOISETTES FR ; 100G NOISETTES DE FRANCE ; VAHINE ; MCCORMICK GRD PUBLIC ;3;4,12;3,91;0,055;4; UVC ;12;16,48;3,620853;0,2082578;5;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;9;4098028;1;  ;  ;  ;  ;  ;  ;  ;  ;4;  ;2,68;5,12;2,173081;0,4023031;16;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;9;4098028;3,56007E+12; 50G CERNEAUX DE NO ; 50G CERNEAUX DE NOIX CRF ; CRF ORIGIN ; SAS ASSEMAN-DEPREZ ;0,67;1,28;1,21;0,055;4; UVC ;2,68;5,12;2,173081;0,4023031;16;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;9;4098059;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,74;2,75;0,8666351;0,2987109;9;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;9;4098059;3,56007E+12; 50G PIGNON DE PIN ; 50G PIGNON DE PIN CRF ; CRF ORIGIN ; SAS ASSEMAN-DEPREZ ;1,74;2,75;2,61;0,055;1; UVC ;1,74;2,75;0,8666351;0,2987109;9;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;9;1608198;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,74;5,5;1,843333;0,2792929;24;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;9;1608198;3,76007E+12; PRALINE ROSE ; PRALINE ROSE CONFIS.250G ; MAX.GOURM. ; MAISON DE LA PRALINE ;2,74;5,5;4,58;0,2;1; UVC ;2,74;5,5;1,843333;0,2792929;24;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1391983;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,05;1,85;0,7035545;0,3604737;22;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1391983;3,17914E+12; 80G PERLE MULTICOL ; 80G PERLE MULTICOLOR.VAHI ; VAHINE ; MCCORMICK GRD PUBLIC ;1,05;1,85;1,75;0,055;1; UVC ;1,05;1,85;0,7035545;0,3604737;22;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;61381;1;  ;  ;  ;  ;  ;  ;  ;  ;12;  ;18,48;25,08;5,292512;0,2000239;58;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;61381;3,17914E+12; 100G PEPITE CHOCOL ; 100G PEPITE CHOCOLAT VAHI ; VAHINE ; MCCORMICK GRD PUBLIC ;1,54;2,49;2,36;0,055;12; UVC ;18,48;25,08;5,292512;0,2000239;58;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;3768220;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,19;1,79;0,5066825;0,268306;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;3768220;3,17914E+12; 65G VERMICELLE NOI ; 65G VERMICELLE NOIR BLC V ; VAHINE ; MCCORMICK GRD PUBLIC ;1,19;1,95;1,85;0,055;1; UVC ;1,19;1,79;0,5066825;0,268306;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;41265;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,11;1,67;0,4729384;0,2684328;10;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;41265;3,17914E+12; 65G VERMICELLE CHO ; 65G VERMICELLE CHOCO VAHI ; VAHINE ; MCCORMICK GRD PUBLIC ;1,11;1,67;1,58;0,055;1; UVC ;1,11;1,67;0,4729384;0,2684328;10;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1328978;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;4,23;8,46;3,788957;0,4245188;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1328978;3,17914E+12; 90G BILLES 3 CHOCO ; 90G BILLES 3 CHOCOS VAHIN ; VAHINE ; MCCORMICK GRD PUBLIC ;1,41;2,82;2,67;0,055;3; UVC ;4,23;8,46;3,788957;0,4245188;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;3768221;1;  ;  ;  ;  ;  ;  ;  ;  ;8;  ;13,12;19,6;5,458199;0,2639616;7;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;3768221;3,17914E+12; 100GR PEPITES CHOC ; 100GR PEPITES CHOCO 70% V ; VAHINE ; MCCORMICK GRD PUBLIC ;1,64;2,45;2,32;0,055;8; UVC ;13,12;19,6;5,458199;0,2639616;7;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2524216;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,7;3,48;1,598578;0,4354138;19;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2524216;3,17914E+12; 125G FONDANT BLANC ; VAHINE FONDANT BLANC 125G ; VAHINE ; MCCORMICK GRD PUBLIC ;1,7;3,48;3,3;0,055;1; UVC ;1,7;3,48;1,598578;0,4354138;19;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2824935;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;5;8,8;3,341232;0,3598914;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2824935;3,17914E+12; BOITE MULTIDECO ; VAHINE BTE MULTIDECO 125G ; VAHINE ; MCCORMICK GRD PUBLIC ;2,5;4,4;4,17;0,055;2; UVC ;5;8,8;3,341232;0,3598914;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2824938;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,78;4,17;1,172607;0,2665409;5;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2824938;3,17914E+12; BTE MULTIDECO FANT ; BTE MULTIDECO FANTAS.130G ; VAHINE ; MCCORMICK GRD PUBLIC ;2,78;4,17;3,95;0,055;1; UVC ;2,78;4,17;1,172607;0,2665409;5;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2790703;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;2,06;3,78;1,522938;0,3818898;5;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2790703;3,17914E+12; PLAQ.JOYEUX ANNIV. ; VAH.PLAQ.JOYEUX ANNIV.1G ; VAHINE ; MCCORMICK GRD PUBLIC ;1,03;1,89;1,79;0,055;2; UVC ;2,06;3,78;1,522938;0,3818898;5;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2985863;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,68;2,95;1,116209;0,35865;14;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2985863;3,17914E+12; VAHINE DECO.SMILEY ; VAHINE DECORS SMILEY 1G ; VAHINE ; MCCORMICK GRD PUBLIC ;1,68;2,95;2,8;0,055;1; UVC ;1,68;2,95;1,116209;0,35865;14;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;3239017;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,95;3,43;1,301185;0,3595774;5;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;3239017;3,17914E+12; 100G PEPITES BIO A ; 100G PEPITES BIO AU CHOCO ; VAHINE ; MCCORMICK GRD PUBLIC ;1,95;3,43;3,25;0,055;1; UVC ;1,95;3,43;1,301185;0,3595774;5;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1308892;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;0,94;1,7;0,4766667;0,2336601;27;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1308892;3,17914E+12; BOUGIE EFFILEES DE ; VAHINE BOUGIE EFFIL.DESIG ; VAHINE ; MCCORMICK GRD PUBLIC ;0,94;1,7;1,42;0,2;1; UVC ;0,94;1,7;0,4766667;0,2336601;27;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1308893;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,05;1,85;0,7035545;0,3604737;9;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1308893;3,17914E+12; 52G ETOILES EN SUC ; 52G ETOILES EN SUCRE VAHI ; VAHINE ; MCCORMICK GRD PUBLIC ;1,05;1,85;1,75;0,055;1; UVC ;1,05;1,85;0,7035545;0,3604737;9;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1575751;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;5,01;8,91;3,435498;0,3654765;10;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1575751;3,17914E+12; SACH. PRALINE ROSE ; VAHINE SACH. PRALINE ROSE ; VAHINE ; MCCORMICK GRD PUBLIC ;1,67;2,97;2,82;0,055;3; UVC ;5,01;8,91;3,435498;0,3654765;10;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2175832;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;2,64;6,7;3,710711;0,5249644;19;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2175832;3,17914E+12; 20G COEURS SUCRE ; VAHINE COEURS SUCRE 20G ; VAHINE ; MCCORMICK GRD PUBLIC ;1,32;3,35;3,18;0,055;2; UVC ;2,64;6,7;3,710711;0,5249644;19;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2175860;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,32;3,15;1,665782;0,5012509;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2175860;3,17914E+12; ROSE FEUILLE SUCRE ; VAH.ROSE/FEUIL.SUCRE 20G ; VAHINE ; MCCORMICK GRD PUBLIC ;1,32;3,15;2,99;0,055;1; UVC ;1,32;3,15;1,665782;0,5012509;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2224849;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,16;1,71;0,4608531;0,2554547;20;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;2224849;3,17914E+12; CRAYON PATISSIER ; CRAYON PATI.VANILLE 25G ; VAHINE ; MCCORMICK GRD PUBLIC ;1,16;1,71;1,62;0,055;1; UVC ;1,16;1,71;0,4608531;0,2554547;20;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1502001;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,82;3,95;1,471667;0,3104782;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;16;1502001;3,56007E+12; 150G ASSORT.6 DECO ; 150G ASSORT.6 DECORS CRF ; CRF CLASS ; AGROLIS SAS ;1,82;3,95;3,29;0,2;1; UVC ;1,82;3,95;1,471667;0,3104782;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;13193;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;0,89;1,65;0,485;0,2449495;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;13193;3,17914E+12; BOUGIE ANNIVERSAI. ; VAHI.BOUGIES ANNIVERSAIRE ; VAHINE ; MCCORMICK GRD PUBLIC ;0,89;1,65;1,38;0,2;1; UVC ;0,89;1,65;0,485;0,2449495;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;66704;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;0,89;1,9;0,6933333;0,3040936;10;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;66704;3,17914E+12; BOUGIES MAGIQUES ; VAHINE BOUGIE MAGIQUE ; VAHINE ; MCCORMICK GRD PUBLIC ;0,89;1,9;1,58;0,2;1; UVC ;0,89;1,9;0,6933333;0,3040936;10;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;3592465;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;3,24;6,5;2,176667;0,2790598;6;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;3592465;3,17914E+12; BOUGIES SAFARI VAH ; BOUGIES SAFARI VAHINE ; VAHINE ; MCCORMICK GRD PUBLIC ;1,62;3,25;2,71;0,2;2; UVC ;3,24;6,5;2,176667;0,2790598;6;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8885;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;0,64;1,35;0,485;0,2993827;10;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8885;3,17914E+12; BOUG CHIF ADULTE 0 ; BOUGIE CHIFFRE ADULTE N0 ; VAHINE ; MCCORMICK GRD PUBLIC ;0,64;1,35;1,13;0,2;1; UVC ;0,64;1,35;0,485;0,2993827;10;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8890;1;  ;  ;  ;  ;  ;  ;  ;  ;4;  ;2,72;5,44;1,813333;0,2777778;13;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8890;3,17914E+12; BOUG CHIF ADULTE 2 ; BOUGIE CHIFFRE ADULTE N 2 ; VAHINE ; MCCORMICK GRD PUBLIC ;0,68;1,36;1,13;0,2;4; UVC ;2,72;5,44;1,813333;0,2777778;13;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8892;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;0,68;1,36;0,4533333;0,2777778;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8892;3,17914E+12; BOUG CHIF ADULTE 3 ; BOUGIE CHIFFRE ADULTE N 3 ; VAHINE ; MCCORMICK GRD PUBLIC ;0,68;1,36;1,13;0,2;1; UVC ;0,68;1,36;0,4533333;0,2777778;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8900;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;0,68;1,36;0,4533333;0,2777778;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8900;3,17914E+12; BOUG CHIF ADULTE 4 ; BOUGIE ADULTE CHIFFRE N 4 ; VAHINE ; MCCORMICK GRD PUBLIC ;0,68;1,36;1,13;0,2;1; UVC ;0,68;1,36;0,4533333;0,2777778;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8908;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;0,68;1,49;0,5616667;0,3141313;18;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8908;3,17914E+12; BOUGIE CHIFFRE N 5 ; VAHINE BOUGIE CHIFFRE N 5 ; VAHINE ; MCCORMICK GRD PUBLIC ;0,68;1,49;1,24;0,2;1; UVC ;0,68;1,49;0,5616667;0,3141313;18;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8910;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;0,68;1,36;0,4533333;0,2777778;9;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;18;8910;3,17914E+12; BOUGIE CHIFFRE N 7 ; VAHINE BOUGIE CHIFFRE N 7 ; VAHINE ; MCCORMICK GRD PUBLIC ;0,68;1,36;1,13;0,2;1; UVC ;0,68;1,36;0,4533333;0,2777778;9;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;19;3297356;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;3,2;5,63;2,136493;0,3597001;18;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;19;3297356;3,17914E+12; 200G PRALIN FAMILY ; 200G PRALIN FAMILY PACK V ; VAHINE ; MCCORMICK GRD PUBLIC ;3,2;5,63;5,34;0,055;1; UVC ;3,2;5,63;2,136493;0,3597001;18;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;19;3297357;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;10,62;14,4;3,029289;0,1994003;19;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;19;3297357;3,17914E+12; 200G NOISETTES POU ; 200G NOISETTES POUDRE VAH ; VAHINE ; MCCORMICK GRD PUBLIC ;3,54;6,22;5,9;0,055;3; UVC ;10,62;14,4;3,029289;0,1994003;19;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;19;2175828;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,83;3,41;1,402228;0,3897729;16;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;19;2175828;3,17914E+12; 125G CRANBERRIES V ; 125G CRANBERRIES VAHINE ; VAHINE ; MCCORMICK GRD PUBLIC ;1,83;3,41;3,23;0,055;1; UVC ;1,83;3,41;1,402228;0,3897729;16;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;20;41262;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;3,5;6,4;2,566351;0,3800875;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;20;41262;3,17914E+12; 20ML EXT NAT VANIL ; 20ML EXT.NAT.VANILLE VAHI ; VAHINE ; MCCORMICK GRD PUBLIC ;1,75;3,2;3,03;0,055;2; UVC ;3,5;6,4;2,566351;0,3800875;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;20;8868;1;  ;  ;  ;  ;  ;  ;  ;  ;15;  ;29,55;45;13,10403;0,2760195;45;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;20;8868;3,17914E+12; 200ML VANILLE ARTI ; 200ML VANILLE ARTIFIC.VAH ; VAHINE ; MCCORMICK GRD PUBLIC ;1,97;3,21;3,04;0,055;15; UVC ;29,55;45;13,10403;0,2760195;45;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;20;4159732;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;16,29;24,45;6,885355;0,2669286;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;20;4159732;3,17914E+12; VANILLE GRAND CRU ; VANILLE GRAND CRU BOURBON ; VAHINE ; MCCORMICK GRD PUBLIC ;5,43;8,15;7,73;0,055;3; UVC ;16,29;24,45;6,885355;0,2669286;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1434; AIDES A LA PATISSERIE ;1; AUTRES AIDES PATISSERIE ;20;3757375;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;3,98;6,59;2,266445;0,3259923;10;  ;  ;
