 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;1;1181757;3,56007E+12; 1/2 DEMI PECHE SL ; 1/2 DEMI PECHE SL CRF CLA ; CRF CLASS ; BROUSSE VERGEZ ;0,87;1,29;1,22;0,055;21; UVC ;18,27;27,09;7,407725;0,2591931;12;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;2;3007318;1;  ;  ;  ;  ;  ;  ;  ;  ;6;  ;16,2;24,9;7,401896;0,2817677;13;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;2;3007318;3,08092E+12; 4X113G PECHE DOUCE ; 4X113G PECHE DOUCEUR SSA ; ST MAMET ; SAINT MAMET DISTRIBU ;2,7;4,15;3,93;0,055;6; UVC ;16,2;24,9;7,401896;0,2817677;13;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;2;73825;1;  ;  ;  ;  ;  ;  ;  ;  ;10;  ;28,9;35,9;5,128436;0,135406;22;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;2;73825;3,08092E+12; 850G PECHES SIROP ; 850G PECHES SIROP ST MAME ; ST MAMET ; SAINT MAMET DISTRIBU ;2,89;3,59;3,4;0,055;10; UVC ;28,9;35,9;5,128436;0,135406;22;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;2;1197059;1;  ;  ;  ;  ;  ;  ;  ;  ;15;  ;21,45;29,85;6,843839;0,2173216;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;2;1197059;3,27019E+12; 4/4 BOITE PECHES S ; 4/4 BOITE PECHES SIROP CR ; CRF CLASS ; SOLARYS ;1,43;1,99;1,89;0,055;15; UVC ;21,45;29,85;6,843839;0,2173216;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;2;4100254;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;7,75;8,45;0,2594787;0,02910667;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;2;4100254;3,56007E+12; 4/4 PECHE DEMI SIR ; 4/4 PECHE DEMI SIROP LEGE ; SIMPL ; TL FOOD ;1,55;1,66;1,57;0,055;5; UVC ;7,75;8,45;0,2594787;0,02910667;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;4;67857;1;  ;  ;  ;  ;  ;  ;  ;  ;4;  ;6,92;9,8;2,3691;0,229142;12;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;4;67857;3,08092E+12; 410G ABRICOT SIROP ; 410G ABRICOT SIROP ST MAM ; ST MAMET ; SAINT MAMET DISTRIBU ;1,73;2,45;2,32;0,055;4; UVC ;6,92;9,8;2,3691;0,229142;12;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;5;1197060;1;  ;  ;  ;  ;  ;  ;  ;  ;11;  ;16,39;29,59;11,65739;0,3734255;9;  ;  ;
