 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;1;1322882;1;  ;  ;  ;  ;  ;  ;  ;  ;11;  ;47,52;53,9;3,570047;0,06278165;54;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;1;1322882;3,55172E+12; LORINA CRISTAL ; LORINA CRISTAL 2X1,25L OS ; LORINA ; GEYER FRERES ;4,32;4,9;4,64;0,055;11; UVC ;47,52;53,9;3,570047;0,06278165;27;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;1;1451575;1;  ;  ;  ;  ;  ;  ;  ;  ;54;  ;27;37,36;8,412322;0,2134305;716;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;1;1451575;3,56007E+12; PET 1,5L LIMONADE ; PET 1,5L LIMONADE CRF CLA ; CRF CLASS ; SOURCES ALMA FACTURA ;0,5;0,72;0,68;0,055;54; UVC ;27;37,36;8,412322;0,2134305;716;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;1;1519452;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;5,58;12,06;5,85128;0,4598869;2;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;1;1519452;3,56007E+12; PET 1,5L LIMON.CTR ; PET 1,5L LIMON.CTR SICIL. ; CRF CLASS ; LAITERIE SAINT DENIS ;0,62;1,49;1,41;0,055;9; UVC ;5,58;12,06;5,85128;0,4598869;2;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;1;3543496;1;  ;  ;  ;  ;  ;  ;  ;  ;34;  ;9,86;12,92;2,386446;0,17508;50;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;1;3543496;3,56007E+12; PET 1,5L LIMONADE ; PET 1,5L LIMONADE SIMPL ; SIMPL ; SOURCES ALMA FACTURA ;0,29;0,38;0,36;0,055;34; UVC ;9,86;12,92;2,386446;0,17508;50;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;3;1128436;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;10,98;29,61;17,08635;0,5469636;138;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;3;1128436;3,24541E+12; PET 6X33CL LIMONAD ; PET 6X33CL LIMONADE CRF C ; CRF CLASS ; LAITERIE SAINT DENIS ;1,22;3,29;3,12;0,055;9; UVC ;10,98;29,61;17,08635;0,5469636;23;  ;  
