 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 001 ; 0000001451478 ; 3560070556991 ; 70G 2T SAUMON FUME ; 70G 2T SAUMON FUME NORV. ; CRF-CDM ; LABEYRIE FINE FOODS ; 2,16 ; 3,99 ; 3,78 ; 0,055 ; 11,000 ; UVC ; 23,76 ; 43,89 ; 17,8419 ; 0,3853213 ; 14,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 001 ; 0000002706046 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 2,000 ;  ; 14,8 ; 21,98 ; 6,034123 ; 0,260216 ; 20,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 001 ; 0000002706046 ; 3560071503666 ; 160G 4T SAUM.FUM.E ; 160G 4T SAUM.FUM.ECO.LR C ; CRF SELEC ; MERALLIANCE ; 7,4 ; 10,99 ; 10,42 ; 0,055 ; 2,000 ; UVC ; 14,8 ; 21,98 ; 6,034123 ; 0,260216 ; 20,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000001132837 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,000 ;  ; 52,32 ; 60,71 ; 5,225024 ; 0,08157847 ; 6,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000001132837 ; 3033610071303 ; 75G SAUMON FUME NO ; 75G SAUMON FUME NORVEGE 2 ; LABEYRIE ; LABEYRIE FINE FOODS ; 4,36 ; 4,99 ; 4,73 ; 0,055 ; 12,000 ; UVC ; 52,32 ; 60,71 ; 5,225024 ; 0,08157847 ; 6,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000002644977 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 4,000 ;  ; 25 ; 31,16 ; 4,535545 ; 0,1379684 ; 5,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000002644977 ; 3038680704823 ; SF NORV 4TR 130G D ; SF NORV 4TR 130G DELPIERR ; DELPIERRE ; LABEYRIE FINE FOODS ; 6,25 ; 7,49 ; 7,1 ; 0,055 ; 4,000 ; UVC ; 25 ; 31,16 ; 4,535545 ; 0,1379684 ; 5,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000001634200 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 10,000 ;  ; 52,1 ; 59,9 ; 4,677251 ; 0,07401358 ; 7,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000001634200 ; 3067163660820 ; 120G SF 4T NORVEGE ; 120G SF 4T NORVEGE ; DELPEYRAT ; DELPEYRAT ; 5,21 ; 8,29 ; 7,86 ; 0,055 ; 10,000 ; UVC ; 52,1 ; 59,9 ; 4,677251 ; 0,07401358 ; 7,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000000074038 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 3,000 ;  ; 10,29 ; 17,7 ; 6,487251 ; 0,3474042 ; 12,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000000074038 ; 3245412477478 ; 140G 4T SAUM FUM N ; 140G 4T SAUM FUM NORV CRF ; CRF EXTRA ; MOWI BRETAGNE S.A.S ; 3,43 ; 6,39 ; 6,06 ; 0,055 ; 3,000 ; UVC ; 10,29 ; 17,7 ; 6,487251 ; 0,3474042 ; 12,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000000032605 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 1,000 ;  ; 5,36 ; 9,49 ; 3,635261 ; 0,3630922 ; 8,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000000032605 ; 3245414079113 ; 210G 6T SF NORVEGE ; 210G 6T SF NORVEGE ASC CR ; CRF EX FES ; MOWI BRETAGNE S.A.S ; 5,36 ; 9,49 ; 9 ; 0,055 ; 1,000 ; UVC ; 5,36 ; 9,49 ; 3,635261 ; 0,3630922 ; 8,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000003828150 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 5,000 ;  ; 21 ; 27,45 ; 5,018957 ; 0,173308 ; 13,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000003828150 ; 3560071433284 ; 150G FILET SF NORV ; 150G FILET SF NORV. CRF S ; CRF SENSAT ; MOWI BRETAGNE S.A.S ; 4,2 ; 5,49 ; 5,2 ; 0,055 ; 5,000 ; UVC ; 21 ; 27,45 ; 5,018957 ; 0,173308 ; 13,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000003838066 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 21,000 ;  ; 83,79 ; 125,79 ; 35,44223 ; 0,2670684 ; 5,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000003838066 ; 3560071433925 ; 200G SAU FUM NORV. ; 200G SAU FUM NORV. CRF CL ; CRF CLASS ; MOWI BRETAGNE S.A.S ; 3,99 ; 5,99 ; 5,68 ; 0,055 ; 21,000 ; UVC ; 83,79 ; 125,79 ; 35,44223 ; 0,2670684 ; 5,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000001330858 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 60,000 ;  ; 205,2 ; 291 ; 70,62939 ; 0,2300594 ; 95,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 002 ; 0000001330858 ; 3560071435394 ; 200G SAUMON FUME A ; 200G SAUMON FUME ATLANT. ; SIMPL ; CREATIVE SEAFOOD FR ; 3,42 ; 4,85 ; 4,6 ; 0,055 ; 60,000 ; UVC ; 205,2 ; 291 ; 70,62939 ; 0,2300594 ; 95,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 005 ; 0000003187472 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 3,000 ;  ; 24,78 ; 27,87 ; 1,637062 ; 0,05567697 ; 14,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 005 ; 0000003187472 ; 3033610056829 ; 130G SAUMON FUME E ; 130G SAUMON FUME ECO 4TR ; LABEYRIE ; LABEYRIE FINE FOODS ; 8,26 ; 9,29 ; 8,81 ; 0,055 ; 3,000 ; UVC ; 24,78 ; 27,87 ; 1,637062 ; 0,05567697 ; 14,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 005 ; 0000000032614 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 10,000 ;  ; 39,4 ; 62,45 ; 19,79431 ; 0,3004385 ; 17,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 005 ; 0000000032614 ; 3245412729829 ; 140G 4T SAUM.FUM.E ; 140G 4T SAUM.FUM.ECOSSE C ; CRF EXTRA ; MOWI BRETAGNE S.A.S ; 3,94 ; 6,59 ; 6,25 ; 0,055 ; 10,000 ; UVC ; 39,4 ; 62,45 ; 19,79431 ; 0,3004385 ; 17,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 005 ; 0000000032619 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,000 ;  ; 69,6 ; 116,28 ; 40,61801 ; 0,3311015 ; 11,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 005 ; 0000000032619 ; 3245414079175 ; 210G 6T SAUMON FUM ; 210G 6T SAUMON FUM.ECOS C ; CRF EXTRA ; MERALLIANCE ; 5,8 ; 9,69 ; 9,18 ; 0,055 ; 12,000 ; UVC ; 69,6 ; 116,28 ; 40,61801 ; 0,3311015 ; 11,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 005 ; 0000001451701 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 3,000 ;  ; 7,05 ; 12,27 ; 4,580332 ; 0,3538343 ; 7,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 005 ; 0000001451701 ; 3560070556939 ; 70G 2T SAUMON FUME ; 70G 2T SAUMON FUME ECOS.C ; CRF EXTRA ; LABEYRIE FINE FOODS ; 2,35 ; 4,09 ; 3,88 ; 0,055 ; 3,000 ; UVC ; 7,05 ; 12,27 ; 4,580332 ; 0,3538343 ; 7,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 020 ; 0000003021887 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 4,000 ;  ; 20 ; 22,76 ; 1,57346 ; 0,0655286 ; 3,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 020 ; 0000003021887 ; 3033610062707 ; 65G 2T SF BIO LABE ; 65G 2T SF BIO LABEYRIE ; LABEYRIE ; LABEYRIE FINE FOODS ; 5 ; 5,69 ; 5,39 ; 0,055 ; 4,000 ; UVC ; 20 ; 22,76 ; 1,57346 ; 0,0655286 ; 3,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 030 ; 0000000076205 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,000 ;  ; 16,08 ; 30,38 ; 12,71621 ; 0,3967505 ; 26,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 030 ; 0000000076205 ; 3270190208181 ; 90G LARDON SAUMON ; 90G LARDON SAUMON FUME CR ; CRF EXTRA ; MERALLIANCE ; 2,01 ; 3,69 ; 3,5 ; 0,055 ; 8,000 ; UVC ; 16,08 ; 30,38 ; 12,71621 ; 0,3967505 ; 26,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000016174 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 0,510 ;  ; 23,613 ; 42,78 ; 16,93676 ; 0,3752642 ; 0,896 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000016174 ; 2602105000000 ; LS COEUR SAUMON FU ; LS COEUR SAUMON FUME           ;  ; FUMAGE DU SICHON ; 46,3 ; 84,55 ; 80,14 ; 0,055 ; 0,510 ; KG ; 23,613 ; 42,78 ; 16,93676 ; 0,3752642 ; 0,896 ;  ;  
