 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 001 ; 0000002669037 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 33,000 ;  ; 45,87 ; 57,75 ; 8,869336 ; 0,145575 ; 81,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 001 ; 0000002669037 ; 3560070301980 ; 3X1/4 PETIT POIS X ; 3X1/4 PETIT POIS XF CRF C ; CRF CLASS ; BONDUELLE EUROPE ; 1,39 ; 1,75 ; 1,66 ; 0,055 ; 33,000 ; UVC ; 45,87 ; 57,75 ; 8,869336 ; 0,145575 ; 27,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 002 ; 0000001020475 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 7,000 ;  ; 9,45 ; 8,75 ; -1,156161 ; -0,1252443 ; 21,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 002 ; 0000001020475 ; 3017800078662 ; 1/2 POIS EF DAUCY ; D AUCY PPOIS EF 1/2 ; D'AUCY ; D AUCY FRANCE ; 1,35 ; 1,25 ; 1,18 ; 0,055 ; 7,000 ; UVC ; 9,45 ; 8,75 ; -1,156161 ; -0,1252443 ; 21,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 002 ; 0000000067573 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 41,000 ;  ; 28,7 ; 43,05 ; 12,10569 ; 0,2665409 ; 192,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 002 ; 0000000067573 ; 3560070320288 ; 1/2 PETIT POIS X F ; 1/2 PETIT POIS X FIN CRF ; CRF CLASS ; D AUCY FRANCE ; 0,7 ; 1,05 ; 1 ; 0,055 ; 41,000 ; UVC ; 28,7 ; 43,05 ; 12,10569 ; 0,2665409 ; 192,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 003 ; 0000000023689 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,000 ;  ; 26,76 ; 21 ; -6,854787 ; -0,3094013 ; 26,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 003 ; 0000000023689 ; 3017800000793 ; P.POIS E.F.DAUCY ; DAUCY P.POIS EF 4/4 ; D'AUCY ; D AUCY FRANCE ; 2,23 ; 1,75 ; 1,66 ; 0,055 ; 12,000 ; UVC ; 26,76 ; 21 ; -6,854787 ; -0,3094013 ; 26,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 003 ; 0000000067572 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 39,000 ;  ; 43,29 ; 57,94 ; 11,62943 ; 0,1902512 ; 39,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 003 ; 0000000067572 ; 5400101173224 ; 4/4 PETITS POIS XF ; 4/4 PETITS POIS XF CRF CL ; CRF CLASS ; D AUCY FRANCE ; 1,11 ; 1,49 ; 1,41 ; 0,055 ; 39,000 ; UVC ; 43,29 ; 57,94 ; 11,62943 ; 0,1902512 ; 39,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 004 ; 0000001190251 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 36,000 ;  ; 40,68 ; 52,2 ; 8,798673 ; 0,1597696 ; 22,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 004 ; 0000001190251 ; 3560070539178 ; 72CL POIS XF ETUVE ; 72CL POIS XF ETUVEE CRF C ; CRF CLASS ; D AUCY FRANCE ; 1,13 ; 1,45 ; 1,37 ; 0,055 ; 36,000 ; UVC ; 40,68 ; 52,2 ; 8,798673 ; 0,1597696 ; 22,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 004 ; 0000001190254 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 21,000 ;  ; 14,28 ; 22,89 ; 7,416682 ; 0,3071223 ; 39,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 004 ; 0000001190254 ; 3560070657698 ; 37CL PETITS POIS X ; 37CL PETITS POIS XF CRF C ; CRF CLASS ; D AUCY FRANCE ; 0,68 ; 1,09 ; 1,03 ; 0,055 ; 21,000 ; UVC ; 14,28 ; 22,89 ; 7,416682 ; 0,3071223 ; 39,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 006 ; 0000004109613 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,000 ;  ; 7,92 ; 11,4 ; 2,885687 ; 0,2399341 ; 25,000 ;  ;  
