  ; Magasin 7512 CUSSET ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; édité le 18/03/2024 13:51 ;  
 Commandabilité : Toutes ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Niveau d'extraction : Groupe de famille, Famille, Sous-famille, Unité de Gestion, EAN ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Fréquence d'extraction :  ;  ;  ;  ;  ;  ; Fin de planification :  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Note : les champs avec * sont liées à la période de vente sélectionnée ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ;  ;  ;  ;  ;  ; 111 ; 111 ;  ;  ;  ;  ;  ;  ;  ;  ; 1273,750 ;  ; 6881,299 ; 9798,75 ; 2406,616 ; 0,2362559 ; 829,825 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ;  ;  ;  ; 9 ; 9 ;  ;  ;  ;  ;  ;  ;  ;  ; 153,130 ;  ; 685,9867 ; 911,15 ; 177,6626 ; 0,2101346 ; 62,408 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 000 ; POULETS FERMIERS BLANC ;  ; 3 ; 3 ;  ;  ;  ;  ;  ;  ;  ;  ; 47,480 ;  ; 248,3304 ; 358,12 ; 91,11983 ; 0,1585145 ; 17,536 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 000 ; POULETS FERMIERS BLANC ; 001 ; 0000001542320 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 28,720 ;  ; 130,1016 ; 223,71 ; 81,94579 ; 0,3472073 ; 17,536 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 000 ; POULETS FERMIERS BLANC ; 001 ; 0000001542320 ; 0215488000000 ; POULET CARREFOUR ; KG POULET FERMIER BLC FQC ; CARREFOUR ; ARRIVE M.COQ ; 4,53 ; 7,79 ; 7,38 ; 0,055 ; 28,720 ; KG ; 130,1016 ; 223,71 ; 81,94579 ; 0,3472073 ; 17,536 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 000 ; POULETS FERMIERS BLANC ; 001 ; 0000000059055 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 10,330 ;  ; 80,8839 ; 67,09 ; -17,29148 ; -0,2442992 ; 0,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 000 ; POULETS FERMIERS BLANC ; 001 ; 0000000059055 ; 0217004000000 ; POULET BLANC LR LO ; KG POULET BLANC LR LOUE ; LOUE ; LDC ; 7,83 ; 9,39 ; 8,9 ; 0,055 ; 10,330 ; KG ; 80,8839 ; 67,09 ; -17,29148 ; -0,2442992 ; 0,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 000 ; POULETS FERMIERS BLANC ; 001 ; 0000001018230 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,430 ;  ; 37,3449 ; 67,32 ; 26,46553 ; 0,3726353 ; 0,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 000 ; POULETS FERMIERS BLANC ; 001 ; 0000001018230 ; 0287453000000 ; KG POULET FERMIER ; KG POULET FERMIER BLANC C ; CRF-CDM ; LDC ; 4,43 ; 7,99 ; 7,57 ; 0,055 ; 8,430 ; KG ; 37,3449 ; 67,32 ; 26,46553 ; 0,3726353 ; 0,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 001 ; POULETS FERMIERS JAUNE ;  ; 1 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 25,820 ;  ; 202,1706 ; 167,91 ; -43,0142 ; -0,2428191 ; 0,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 001 ; POULETS FERMIERS JAUNE ; 001 ; 0000000059056 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 25,820 ;  ; 202,1706 ; 167,91 ; -43,0142 ; -0,2428191 ; 0,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 001 ; POULETS FERMIERS JAUNE ; 001 ; 0000000059056 ; 3266980000134 ; POULET JAUNE LR LO ; KG POULET JAUNE LR LOUE ; LOUE ; LDC ; 7,83 ; 9,39 ; 8,9 ; 0,055 ; 25,820 ; KG ; 202,1706 ; 167,91 ; -43,0142 ; -0,2428191 ; 0,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 002 ; POULETS STANDARDS BLANC ;  ; 1 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 46,480 ;  ; 117,1296 ; 166,83 ; 41,0031 ; 0,2329647 ; 6,915 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 002 ; POULETS STANDARDS BLANC ; 001 ; 0000001613879 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 46,480 ;  ; 117,1296 ; 166,83 ; 41,0031 ; 0,2329647 ; 6,915 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 002 ; POULETS STANDARDS BLANC ; 001 ; 0000001613879 ; 2447141000000 ; KG POULET BLANC PA ; KG POULET BL PAC S/F SIMP ; SIMPL ; DUC SOCIETE ; 2,52 ; 3,53 ; 3,35 ; 0,055 ; 46,480 ; KG ; 117,1296 ; 166,83 ; 41,0031 ; 0,2329647 ; 6,915 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 005 ; PINTADES ;  ; 1 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 9,640 ;  ; 54,0804 ; 114,19 ; 54,15657 ; 0,4495423 ; 12,798 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 005 ; PINTADES ; 002 ; 0000000005412 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 9,640 ;  ; 54,0804 ; 114,19 ; 54,15657 ; 0,4495423 ; 12,798 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 005 ; PINTADES ; 002 ; 0000000005412 ; 0287469000000 ; PINTADE FERMIERE ; PINTAD.FERMIERE CRF SELEC ; CRF SELEC ; ARRIVE M.COQ ; 5,61 ; 9,4 ; 8,91 ; 0,055 ; 9,640 ; KG ; 54,0804 ; 114,19 ; 54,15657 ; 0,4495423 ; 12,798 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 007 ; CAILLES ET PIGEONS ;  ; 1 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,000 ;  ; 19,2 ; 30 ; 9,236019 ; 0,2918173 ; 18,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 007 ; CAILLES ET PIGEONS ; 004 ; 0000000065508 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,000 ;  ; 19,2 ; 30 ; 9,236019 ; 0,2918173 ; 18,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 007 ; CAILLES ET PIGEONS ; 004 ; 0000000065508 ; 3266980075934 ; 18 OEUFS CAILLES ; GAULOIS 18 OEUFS CAILLES ; LE GAULOIS ; LDC ; 2,4 ; 3,75 ; 3,55 ; 0,055 ; 8,000 ; UVC ; 19,2 ; 30 ; 9,236019 ; 0,2918173 ; 18,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 008 ; POULE ET COQ ;  ; 2 ; 2 ;  ;  ;  ;  ;  ;  ;  ;  ; 15,710 ;  ; 45,0757 ; 74,1 ; 25,16127 ; 0,3420812 ; 7,159 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 008 ; POULE ET COQ ; 001 ; 0000001557432 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,440 ;  ; 30,8512 ; 44,63 ; 11,45212 ; 0,243224 ; 2,269 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 008 ; POULE ET COQ ; 001 ; 0000001557432 ; 0276570000000 ; POULE SIMPL ; POULE PAC KG ; PP BLANC ; S N V ; 2,48 ; 3,53 ; 3,35 ; 0,055 ; 12,440 ; KG ; 30,8512 ; 44,63 ; 11,45212 ; 0,243224 ; 2,269 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 008 ; POULE ET COQ ; 011 ; 0000001396390 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 3,270 ;  ; 14,2245 ; 29,47 ; 13,70915 ; 0,4409384 ; 4,890 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2530 ; VOLAILLES ENTIERES ; 008 ; POULE ET COQ ; 011 ; 0000001396390 ; 2227540000000 ; KG COQUEL PAC CERT ; CRF COQUELET PAC CERTIFIE ; CRF CLASS ; ARRIVE M.COQ ; 4,35 ; 8,99 ; 8,52 ; 0,055 ; 3,270 ; KG ; 14,2245 ; 29,47 ; 13,70915 ; 0,4409384 ; 4,890 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ;  ;  ;  ; 53 ; 53 ;  ;  ;  ;  ;  ;  ;  ;  ; 582,560 ;  ; 4272,156 ; 6188,13 ; 1593,37 ; 0,2473123 ; 351,114 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ;  ; 22 ; 22 ;  ;  ;  ;  ;  ;  ;  ;  ; 416,460 ;  ; 2717,848 ; 4037,47 ; 1109,138 ; 0,2620219 ; 218,113 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 001 ; 0000001085505 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 30,000 ;  ; 250,5 ; 298,5 ; 32,43839 ; 0,103006 ; 8,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 001 ; 0000001085505 ; 3266980123994 ; FILET POULET BLANC ; 720G FILET POULET BLANC L ; LE GAULOIS ; LDC ; 8,35 ; 9,95 ; 9,43 ; 0,055 ; 30,000 ; UVC ; 250,5 ; 298,5 ; 32,43839 ; 0,103006 ; 8,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 001 ; 0000003263675 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 16,000 ;  ; 201,6 ; 319,84 ; 101,5659 ; 0,3009973 ; 5,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 001 ; 0000003263675 ; 3560071162528 ; 2KG FLT POULET BLC ; 2KG FLT PLT BLC S/AT SIMP ; SIMPL ; LDC ; 12,6 ; 19,99 ; 18,95 ; 0,055 ; 16,000 ; UVC ; 201,6 ; 319,84 ; 101,5659 ; 0,3009973 ; 5,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 001 ; 0000004004762 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 62,000 ;  ; 405,48 ; 674,7 ; 234,0461 ; 0,3288048 ; 48,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 001 ; 0000004004762 ; 3560071328122 ; 1KG FILET PLT BLC ; 1KG FILET PLT BLC SIMPL ; SIMPL ; DUC SOCIETE ; 6,54 ; 10,89 ; 10,32 ; 0,055 ; 62,000 ; UVC ; 405,48 ; 674,7 ; 234,0461 ; 0,3288048 ; 48,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 002 ; 0000002561543 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,960 ;  ; 116,64 ; 206 ; 78,62067 ; 0,3617571 ; 14,249 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 002 ; 0000002561543 ; 0219965000000 ; KG FLT PLT BLC SSO ; KG FLT PLT BLC SSO/SSA X2 ; CRF CL OAB ; DUC SOCIETE ; 9 ; 15,89 ; 15,06 ; 0,055 ; 12,960 ; KG ; 116,64 ; 206 ; 78,62067 ; 0,3617571 ; 14,249 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 002 ; 0000001130944 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,080 ;  ; 164,892 ; 197,34 ; 22,16013 ; 0,10644 ; 8,525 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 002 ; 0000001130944 ; 2276746000000 ; KG LG 2 FLT PLT EX ; KG LG 2 FLT PLT EXTRA TEN ; LE GAULOIS ; LDC ; 13,65 ; 16,35 ; 15,5 ; 0,055 ; 12,080 ; KG ; 164,892 ; 197,34 ; 22,16013 ; 0,10644 ; 8,525 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 002 ; 0000002790838 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 1,870 ;  ; 27,7134 ; 30,8 ; 1,480913 ; 0,04557496 ; 3,354 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 002 ; 0000002790838 ; 2447040000000 ; ESCALOPE GOURMANDE ; ESCALOPE GOURMANDE PLT KG ; PERE DODU ; GALLIANCE DISTRIBUTI ; 14,82 ; 16,49 ; 15,63 ; 0,055 ; 1,870 ; KG ; 27,7134 ; 30,8 ; 1,480913 ; 0,04557496 ; 3,354 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 002 ; 0000001215886 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 37,000 ;  ; 166,5 ; 184,63 ; 8,50474 ; 0,04366226 ; 2,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 002 ; 0000001215886 ; 3266980891015 ; 300G LG FILETS DE ; 300G LG FILETS DE POULET ; LE GAULOIS ; LDC ; 4,5 ; 4,99 ; 4,73 ; 0,055 ; 37,000 ; UVC ; 166,5 ; 184,63 ; 8,50474 ; 0,04366226 ; 2,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 003 ; 0000000005120 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 6,380 ;  ; 161,8606 ; 184,91 ; 13,40954 ; 0,06873866 ; 3,232 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 003 ; 0000000005120 ; 0217247000000 ; FLT PLT LOUE BLC ; FLT PLT LOUE BLC BQ 2 KG ; LOUE ; LDC ; 25,37 ; 28,99 ; 27,48 ; 0,055 ; 6,380 ; KG ; 161,8606 ; 184,91 ; 13,40954 ; 0,06873866 ; 3,232 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 004 ; 0000003053154 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 3,380 ;  ; 29,1356 ; 51,36 ; 19,54686 ; 0,3607444 ; 4,913 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 004 ; 0000003053154 ; 0215197000000 ; KG FT.PLT BL SSO/A ; KG FT.PLT BL SSO/A X6 CRF ; CRF CL OAM ; DUC SOCIETE ; 8,62 ; 15,19 ; 14,4 ; 0,055 ; 3,380 ; KG ; 29,1356 ; 51,36 ; 19,54686 ; 0,3607444 ; 4,913 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 004 ; 0000001331456 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 18,410 ;  ; 165,1377 ; 289,87 ; 109,6206 ; 0,3584565 ; 15,499 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 004 ; 0000001331456 ; 0219967000000 ; KG FILET.PLT BLC S ; KG FILET.PLT BLC SSO/A.X3 ; CRF CL OAM ; DUC SOCIETE ; 8,97 ; 15,75 ; 14,93 ; 0,055 ; 18,410 ; KG ; 165,1377 ; 289,87 ; 109,6206 ; 0,3584565 ; 15,499 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 006 ; 0000001403719 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 23,890 ;  ; 247,2615 ; 378,06 ; 111,0892 ; 0,2785215 ; 11,719 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 006 ; 0000001403719 ; 2227487000000 ; KG AIGUIL PLT BLC ; KG AIGUIL PLT BLC CERT CR ; CRF CL OAM ; DUC SOCIETE ; 10,35 ; 17,09 ; 16,2 ; 0,055 ; 23,890 ; KG ; 247,2615 ; 378,06 ; 111,0892 ; 0,2785215 ; 11,719 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 006 ; 0000001199502 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 66,000 ;  ; 198 ; 263,34 ; 51,61137 ; 0,1857702 ; 43,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 006 ; 0000001199502 ; 3266980275891 ; AIGUILLETTE POULET ; 210G AIGUILLETTE PLT BLC ; LE GAULOIS ; LDC ; 3 ; 3,99 ; 3,78 ; 0,055 ; 66,000 ; UVC ; 198 ; 263,34 ; 51,61137 ; 0,1857702 ; 43,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 010 ; 0000003263681 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 7,000 ;  ; 48,3 ; 88,55 ; 35,63365 ; 0,3814339 ; 2,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 010 ; 0000003263681 ; 3560071162580 ; 3KG CUISSE PLT BLC ; 3KG CUIS PLT BL S/AT SIMP ; SIMPL ; LDC ; 6,9 ; 12,65 ; 11,99 ; 0,055 ; 7,000 ; UVC ; 48,3 ; 88,55 ; 35,63365 ; 0,3814339 ; 2,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 010 ; 0000004004760 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 21,000 ;  ; 72,03 ; 131,25 ; 52,37758 ; 0,3782628 ; 9,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 010 ; 0000004004760 ; 3560071328061 ; 1,4KG CUISSE PLT B ; 1,4KG CUISSE PLT BLC SIMP ; SIMPL ; DUC SOCIETE ; 3,43 ; 6,38 ; 6,05 ; 0,055 ; 21,000 ; UVC ; 72,03 ; 131,25 ; 52,37758 ; 0,3782628 ; 9,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 012 ; 0000000005119 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,990 ;  ; 113,2728 ; 152,57 ; 31,34331 ; 0,1947257 ; 3,133 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 012 ; 0000000005119 ; 0217810000000 ; CUISSE PLT BLC X2 ; KG CUISSE PLT BLC X2 LR L ; LOUE ; LDC ; 8,72 ; 11,75 ; 11,14 ; 0,055 ; 12,990 ; KG ; 113,2728 ; 152,57 ; 31,34331 ; 0,1947257 ; 3,133 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 253 ; VOLAILLE ; 2531 ; DECOUPE DE VOLAILLES ; 000 ; DECOUPES DE POULET BLANC ; 016 ; 0000003191428 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 17,020 ;  ; 66,0376 ; 110,42 ; 38,62591 ; 0,3315725 ; 4,437 ;  ;  
